55, 103, 0, 4, 9, 49, 34, 21682
76, 257, 1, 3, 7, 8, 17, 17319
77, 169, 0, 7, 2, 45, 53, 39660
67, 134, 0, 5, 1, 31, 58, 11634
57, 228, 1, 3, 9, 78, 84, 81611
70, 192, 0, 8, 4, 56, 16, 90640
73, 142, 1, 7, 4, 73, 33, 83267
71, 233, 1, 6, 5, 0, 94, 51028
76, 176, 0, 7, 8, 42, 69, 90220
71, 261, 1, 1, 9, 84, 23, 18049
56, 185, 1, 8, 5, 84, 91, 33763
70, 127, 1, 1, 5, 78, 37, 73866
68, 100, 1, 1, 4, 11, 88, 33015
74, 145, 1, 8, 1, 27, 42, 74704
73, 163, 0, 1, 0, 64, 47, 98336
67, 257, 0, 0, 6, 58, 64, 61784
66, 114, 1, 1, 0, 36, 58, 91037
79, 169, 0, 4, 1, 50, 17, 51048
70, 124, 0, 3, 10, 97, 52, 74367
70, 187, 1, 2, 7, 8, 42, 56672
58, 124, 1, 8, 8, 27, 44, 20799
64, 156, 1, 3, 1, 86, 56, 33368
76, 160, 1, 0, 10, 50, 16, 90606
68, 175, 0, 6, 2, 18, 80, 52477
66, 241, 1, 0, 7, 71, 94, 86714
