0,    54620   43523, 1, 5, 2, 64, 95, 86156
1,    52694   42750, 1, 5, 2, 64, 95, 86156
2,    53253   43024, 1, 5, 2, 64, 95, 86156
3,    54925   42624, 1, 5, 2, 64, 95, 86156
4,    54973   43980, 1, 5, 2, 64, 95, 86156
5,    52967   42955, 1, 5, 2, 64, 95, 86156
6,    55143   40238, 1, 5, 2, 64, 95, 86156
7,    53071   44896, 1, 5, 2, 64, 95, 86156
8,    55710   44219, 1, 5, 2, 64, 95, 86156
9,    54459   43964, 1, 5, 2, 64, 95, 86156
10,    54467   44351, 1, 5, 2, 64, 95, 86156
11,    53570   41898, 1, 5, 2, 64, 95, 86156
12,    55155   43399, 1, 5, 2, 64, 95, 86156
13,    54051   41019, 1, 5, 2, 64, 95, 86156
14,    55335   44023, 1, 5, 2, 64, 95, 86156
15,    54449   42872, 1, 5, 2, 64, 95, 86156
16,    53399   42273, 1, 5, 2, 64, 95, 86156
17,    54241   43580, 1, 5, 2, 64, 95, 86156
18,    56000   41710, 1, 5, 2, 64, 95, 86156
19,    53204   42630, 1, 5, 2, 64, 95, 86156
20,    54524   42904, 1, 5, 2, 64, 95, 86156
21,    55665   44100, 1, 5, 2, 64, 95, 86156
22,    55829   40780, 1, 5, 2, 64, 95, 86156
23,    54059   42096, 1, 5, 2, 64, 95, 86156
24,    53106   42771, 1, 5, 2, 64, 95, 86156
25,    54427   43777, 1, 5, 2, 64, 95, 86156
26,    55368   41828, 1, 5, 2, 64, 95, 86156
27,    53927   45077, 1, 5, 2, 64, 95, 86156
28,    55278   44081, 1, 5, 2, 64, 95, 86156
29,    55909   41497, 1, 5, 2, 64, 95, 86156
30,    53344   42929, 1, 5, 2, 64, 95, 86156
31,    55095   42443, 1, 5, 2, 64, 95, 86156
32,    55645   43363, 1, 5, 2, 64, 95, 86156
33,    55718   43777, 1, 5, 2, 64, 95, 86156
34,    57115   44424, 1, 5, 2, 64, 95, 86156
35,    54963   44875, 1, 5, 2, 64, 95, 86156
36,    54483   43594, 1, 5, 2, 64, 95, 86156
37,    54543   44843, 1, 5, 2, 64, 95, 86156
38,    54263   39356, 1, 5, 2, 64, 95, 86156
39,    53992   42499, 1, 5, 2, 64, 95, 86156
40,    54729   40311, 1, 5, 2, 64, 95, 86156
41,    55013   44589, 1, 5, 2, 64, 95, 86156
42,    53332   43782, 1, 5, 2, 64, 95, 86156
43,    52627   41645, 1, 5, 2, 64, 95, 86156
44,    57103   40709, 1, 5, 2, 64, 95, 86156
45,    54352   42520, 1, 5, 2, 64, 95, 86156
46,    50478   42084, 1, 5, 2, 64, 95, 86156
47,    54849   41733, 1, 5, 2, 64, 95, 86156
48,    53055   42310, 1, 5, 2, 64, 95, 86156
49,    55191   42127, 1, 5, 2, 64, 95, 86156
50,    51936   41784, 1, 5, 2, 64, 95, 86156
51,    54594   44345, 1, 5, 2, 64, 95, 86156
52,    52164   42650, 1, 5, 2, 64, 95, 86156
53,    56302   42288, 1, 5, 2, 64, 95, 86156
54,    52913   44156, 1, 5, 2, 64, 95, 86156
55,    53697   46311, 1, 5, 2, 64, 95, 86156
56,    53582   40916, 1, 5, 2, 64, 95, 86156
57,    52993   40890, 1, 5, 2, 64, 95, 86156
58,    54222   43822, 1, 5, 2, 64, 95, 86156
59,    52221   43490, 1, 5, 2, 64, 95, 86156
60,    55062   44521, 1, 5, 2, 64, 95, 86156
61,    52460   42366, 1, 5, 2, 64, 95, 86156
62,    54341   45492, 1, 5, 2, 64, 95, 86156
63,    52195   42091, 1, 5, 2, 64, 95, 86156
64,    53141   41774, 1, 5, 2, 64, 95, 86156
65,    53476   41355, 1, 5, 2, 64, 95, 86156
66,    54256   44048, 1, 5, 2, 64, 95, 86156
67,    56036   42102, 1, 5, 2, 64, 95, 86156
68,    54916   42689, 1, 5, 2, 64, 95, 86156
69,    53420   44299, 1, 5, 2, 64, 95, 86156
70,    54924   42079, 1, 5, 2, 64, 95, 86156
71,    56208   41204, 1, 5, 2, 64, 95, 86156
72,    53855   42912, 1, 5, 2, 64, 95, 86156
73,    55078   42668, 1, 5, 2, 64, 95, 86156
74,    52975   43407, 1, 5, 2, 64, 95, 86156
75,    52526   43275, 1, 5, 2, 64, 95, 86156
76,    56191   42928, 1, 5, 2, 64, 95, 86156
77,    56569   44022, 1, 5, 2, 64, 95, 86156
78,    53730   42300, 1, 5, 2, 64, 95, 86156
79,    56749   45529, 1, 5, 2, 64, 95, 86156
80,    55281   42586, 1, 5, 2, 64, 95, 86156
81,    56338   39718, 1, 5, 2, 64, 95, 86156
82,    52456   43210, 1, 5, 2, 64, 95, 86156
83,    55388   42905, 1, 5, 2, 64, 95, 86156
84,    55983   42644, 1, 5, 2, 64, 95, 86156
85,    54325   45723, 1, 5, 2, 64, 95, 86156
86,    52346   41845, 1, 5, 2, 64, 95, 86156
87,    52745   42741, 1, 5, 2, 64, 95, 86156
88,    54393   42416, 1, 5, 2, 64, 95, 86156
89,    53106   42336, 1, 5, 2, 64, 95, 86156
90,    56285   41221, 1, 5, 2, 64, 95, 86156
91,    54064   41409, 1, 5, 2, 64, 95, 86156
92,    53703   44027, 1, 5, 2, 64, 95, 86156
93,    54179   45588, 1, 5, 2, 64, 95, 86156
94,    55395   42014, 1, 5, 2, 64, 95, 86156
95,    53023   46128, 1, 5, 2, 64, 95, 86156
96,    56830   40997, 1, 5, 2, 64, 95, 86156
97,    57981   42287, 1, 5, 2, 64, 95, 86156
98,    52898   41098, 1, 5, 2, 64, 95, 86156
99,    54307   42992, 1, 5, 2, 64, 95, 86156
100,    55303   44416, 1, 5, 2, 64, 95, 86156
101,    52517   43287, 1, 5, 2, 64, 95, 86156
102,    53727   41735, 1, 5, 2, 64, 95, 86156
103,    55346   40987, 1, 5, 2, 64, 95, 86156
104,    53531   43995, 1, 5, 2, 64, 95, 86156
105,    54225   40013, 1, 5, 2, 64, 95, 86156
106,    54111   43711, 1, 5, 2, 64, 95, 86156
107,    55977   44177, 1, 5, 2, 64, 95, 86156
108,    55227   44206, 1, 5, 2, 64, 95, 86156
109,    52351   45876, 1, 5, 2, 64, 95, 86156
110,    49952   42514, 1, 5, 2, 64, 95, 86156
111,    55911   44667, 1, 5, 2, 64, 95, 86156
112,    55825   42139, 1, 5, 2, 64, 95, 86156
113,    53832   43983, 1, 5, 2, 64, 95, 86156
114,    54353   42453, 1, 5, 2, 64, 95, 86156
115,    50548   44199, 1, 5, 2, 64, 95, 86156
116,    54329   44001, 1, 5, 2, 64, 95, 86156
117,    54691   42918, 1, 5, 2, 64, 95, 86156
118,    54026   42248, 1, 5, 2, 64, 95, 86156
