0, 41, 45, 1, 5, 2, 64, 95, 86156
1, 39, 44, 1, 5, 2, 64, 95, 86156
2, 42, 43, 1, 5, 2, 64, 95, 86156
3, 44, 43, 1, 5, 2, 64, 95, 86156
4, 10, 42, 1, 5, 2, 64, 95, 86156
5, 38, 42, 1, 5, 2, 64, 95, 86156
6, 8, 41, 1, 5, 2, 64, 95, 86156
7, 41, 41, 1, 5, 2, 64, 95, 86156
8, 13, 40, 1, 5, 2, 64, 95, 86156
9, 45, 40, 1, 5, 2, 64, 95, 86156
10, 7, 39, 1, 5, 2, 64, 95, 86156
11, 38, 39, 1, 5, 2, 64, 95, 86156
12, 42, 39, 1, 5, 2, 64, 95, 86156
13, 9, 38, 1, 5, 2, 64, 95, 86156
14, 12, 38, 1, 5, 2, 64, 95, 86156
15, 19, 38, 1, 5, 2, 64, 95, 86156
16, 25, 38, 1, 5, 2, 64, 95, 86156
17, 6, 37, 1, 5, 2, 64, 95, 86156
18, 13, 35, 1, 5, 2, 64, 95, 86156
19, 9, 34, 1, 5, 2, 64, 95, 86156
20, 12, 34, 1, 5, 2, 64, 95, 86156
21, 32, 27, 1, 5, 2, 64, 95, 86156
22, 26, 25, 1, 5, 2, 64, 95, 86156
23, 39, 24, 1, 5, 2, 64, 95, 86156
24, 34, 23, 1, 5, 2, 64, 95, 86156
25, 37, 23, 1, 5, 2, 64, 95, 86156
26, 22, 22, 1, 5, 2, 64, 95, 86156
27, 38, 21, 1, 5, 2, 64, 95, 86156
28, 35, 20, 1, 5, 2, 64, 95, 86156
29, 31, 18, 1, 5, 2, 64, 95, 86156
30, 26, 16, 1, 5, 2, 64, 95, 86156
31, 38, 13, 1, 5, 2, 64, 95, 86156
32, 29, 11, 1, 5, 2, 64, 95, 86156
33, 34, 11, 1, 5, 2, 64, 95, 86156
34, 37, 10, 1, 5, 2, 64, 95, 86156
35, 40, 9, 1, 5, 2, 64, 95, 86156
36, 42, 9, 1, 5, 2, 64, 95, 86156
